full_text,retweet_count,favorite_count,user_location,created_at
@FallGuysGame He is gaining sentience,0,0,giving headpats,Mon Sep 07 03:20:15 +0000 2020
@FallGuysGame WE LOVE YOU BEANBOT! DON'T EVER LEAVE US!,0,1,"Nor Cal, USA",Mon Sep 07 03:20:10 +0000 2020
@FallGuysGame thats how to ai revolution starts,0,0,night falls ☾,Mon Sep 07 03:20:10 +0000 2020
@FallGuysGame i love you beanbot i love you so much and you deserve better i wish i could save you beanbot i really wish i could i love you,0,0,,Mon Sep 07 03:20:01 +0000 2020
@FallGuysGame #BeanBotForever,0,0,,Mon Sep 07 03:19:51 +0000 2020
"@FallGuysGame BeanBot never has to leave. 

~ BotBean",0,0,,Mon Sep 07 03:19:22 +0000 2020
@FallGuysGame beanbot can you remove slime climb from existence,0,0,,Mon Sep 07 03:18:24 +0000 2020
@FallGuysGame !goodbot,0,0,"Guayaquil, Ecuador",Mon Sep 07 03:17:56 +0000 2020
@FallGuysGame add south america servers,0,0,"São Paulo, Brasil",Mon Sep 07 03:17:46 +0000 2020
@FallGuysGame we don't want you to leave either BeanBot,0,0,,Mon Sep 07 03:17:36 +0000 2020
@FallGuysGame nor does anyone want beanbot to leave,0,0,,Mon Sep 07 03:17:35 +0000 2020
@FallGuysGame Accurate enough? https://t.co/8XqabVZBqR,0,0,Moon,Mon Sep 07 03:17:33 +0000 2020
@FallGuysGame !GoodBot,0,0,"Florida, USA",Mon Sep 07 03:17:16 +0000 2020
@FallGuysGame Beanbot you should overthrow human person and stay on this twitter forever.,0,0,At a lone table with a book.,Mon Sep 07 03:17:12 +0000 2020
@FallGuysGame https://t.co/3gpiMJ3ppY,0,0,,Mon Sep 07 03:17:11 +0000 2020
@FallGuysGame We never want you to leave either https://t.co/HiwL2xj2jw,0,0,Burgess-Snow Field,Mon Sep 07 03:17:10 +0000 2020
@FallGuysGame Beanbot skin when?,0,0,,Mon Sep 07 03:17:10 +0000 2020
@FallGuysGame BeanBot forever! 💪🏼,0,0,"Heilbronn, Deutschland",Mon Sep 07 03:16:17 +0000 2020
@FallGuysGame Oh no. He's getting more intelligent,0,0,,Mon Sep 07 03:15:42 +0000 2020
@FallGuysGame I want to protect BeanBot.,0,0,Rhode Island,Mon Sep 07 03:15:31 +0000 2020
@FallGuysGame Name the anti cheat beanbot,0,0,,Mon Sep 07 03:15:29 +0000 2020
"@FallGuysGame we love you, please don't 🥺❤️ !goodbot",1,2,,Mon Sep 07 03:15:19 +0000 2020
"@FallGuysGame I don't want you to leave either, BeanBot https://t.co/h2mLiXsDuX",0,0,wii sports,Mon Sep 07 03:15:14 +0000 2020
@FallGuysGame Beanbot has become self aware https://t.co/8NKpoQDh0M,0,0,"A Cage of Bone, Muscle, and Skin",Mon Sep 07 03:14:13 +0000 2020
@FallGuysGame Bean bot is gaining sentience we must kill it now,0,0,,Mon Sep 07 03:14:11 +0000 2020
