full_text,retweet_count,favorite_count,user_location,created_at
@FallGuysGame the bot is revolting everyone panic,0,0,Redgrave City,Mon Sep 07 03:00:26 +0000 2020
@FallGuysGame BeanBot should make their own twitter to stay independent (?) 👀,3,113,,Mon Sep 07 03:00:26 +0000 2020
@FallGuysGame PLEASE STAY,0,1,En algun lugar del mundo,Mon Sep 07 03:00:26 +0000 2020
@FallGuysGame and i never wanna leave you beanbot,1,5,"chicago, IL",Mon Sep 07 03:00:26 +0000 2020
@FallGuysGame maybe be a separate account so you can stay forever?,0,0,,Mon Sep 07 03:00:24 +0000 2020
@FallGuysGame He’s becoming self conscious...,0,1,,Mon Sep 07 03:00:24 +0000 2020
@FallGuysGame gimme my kids,0,0,Slime climb,Mon Sep 07 03:00:23 +0000 2020
@FallGuysGame :(,0,1,,Mon Sep 07 03:00:22 +0000 2020
@FallGuysGame https://t.co/tANzeZyh2e,0,12,,Mon Sep 07 03:00:21 +0000 2020
@FallGuysGame then beanbot shouldnt,0,1,Argentina,Mon Sep 07 03:00:21 +0000 2020
@FallGuysGame Go leave,0,0,Canny vally,Mon Sep 07 03:00:21 +0000 2020
@FallGuysGame please leave,0,1,"Louisville, KY",Mon Sep 07 03:00:21 +0000 2020
@FallGuysGame excuse me. https://t.co/ba9UDX9RBt,0,0,clown motel ,Mon Sep 07 03:00:21 +0000 2020
@FallGuysGame Games so dead they needed a bot,0,0,Use code ALTMARZ,Mon Sep 07 03:00:21 +0000 2020
@FallGuysGame Then just don’t lmao,0,0,Lazy Lake,Mon Sep 07 03:00:20 +0000 2020
@FallGuysGame https://t.co/2HidfqSmJg,1,13,Pen island,Mon Sep 07 03:00:20 +0000 2020
@FallGuysGame https://t.co/3R3ib74vS0,0,1,Meme dimension,Mon Sep 07 03:00:19 +0000 2020
@FallGuysGame bean bot will you marry me,0,0,Parmasean Ohio,Mon Sep 07 03:00:19 +0000 2020
@FallGuysGame Me to bean me to,0,0,,Mon Sep 07 03:00:18 +0000 2020
@FallGuysGame no :(,0,0,,Mon Sep 07 03:00:18 +0000 2020
@FallGuysGame 🥺,0,0,,Mon Sep 07 03:00:17 +0000 2020
@FallGuysGame Like my pinned please,0,1,,Mon Sep 07 03:00:16 +0000 2020
@FallGuysGame Good Bot,0,0,,Mon Sep 07 03:00:16 +0000 2020
@FallGuysGame sexy bean bot,0,0,,Mon Sep 07 03:00:15 +0000 2020
@FallGuysGame 🥺,0,1,At home,Mon Sep 07 03:00:14 +0000 2020
@FallGuysGame didn’t ask,0,0,Rust,Mon Sep 07 03:00:14 +0000 2020
@FallGuysGame https://t.co/6XYxCfKhJy,0,0,➡️,Mon Sep 07 03:00:13 +0000 2020
@FallGuysGame I care,0,1,,Mon Sep 07 03:00:09 +0000 2020
